# TIME(ps) DENSITY(g/cm^3)
150.500 0.5267
151.000 0.5298
151.500 0.5341
152.000 0.5362
152.500 0.5389
153.000 0.5433
153.500 0.5462
154.000 0.5506
154.500 0.5548
155.000 0.5572
155.500 0.5610
156.000 0.5660
156.500 0.5697
157.000 0.5759
157.500 0.5808
158.000 0.5870
158.500 0.5932
159.000 0.6006
159.500 0.6052
160.000 0.6117
160.500 0.6177
161.000 0.6239
161.500 0.6300
162.000 0.6367
162.500 0.6426
163.000 0.6498
163.500 0.6588
164.000 0.6663
164.500 0.6741
165.000 0.6796
165.500 0.6885
166.000 0.6970
166.500 0.7070
167.000 0.7142
167.500 0.7255
168.000 0.7389
168.500 0.7514
169.000 0.7657
169.500 0.7782
170.000 0.7876
170.500 0.8022
171.000 0.8149
171.500 0.8249
172.000 0.8353
172.500 0.8481
173.000 0.8691
173.500 0.8825
174.000 0.8961
174.500 0.9066
175.000 0.9126
175.500 0.9256
176.000 0.9415
176.500 0.9511
177.000 0.9648
177.500 0.9726
178.000 0.9786
178.500 0.9829
179.000 0.9836
179.500 0.9891
180.000 0.9935
180.500 1.0001
181.000 1.0097
181.500 1.0103
182.000 1.0151
182.500 1.0178
183.000 1.0188
183.500 1.0229
184.000 1.0229
184.500 1.0235
185.000 1.0224
185.500 1.0222
186.000 1.0217
186.500 1.0250
187.000 1.0271
187.500 1.0249
188.000 1.0280
188.500 1.0248
189.000 1.0261
189.500 1.0264
190.000 1.0275
190.500 1.0251
191.000 1.0269
191.500 1.0242
192.000 1.0276
192.500 1.0291
193.000 1.0341
193.500 1.0397
194.000 1.0409
194.500 1.0389
195.000 1.0403
195.500 1.0355
196.000 1.0369
196.500 1.0344
197.000 1.0367
197.500 1.0395
198.000 1.0370
198.500 1.0354
199.000 1.0286
199.500 1.0309
200.000 1.0320
200.500 1.0278
201.000 1.0264
201.500 1.0257
202.000 1.0347
202.500 1.0357
203.000 1.0344
203.500 1.0367
204.000 1.0382
204.500 1.0348
205.000 1.0343
205.500 1.0305
206.000 1.0315
206.500 1.0342
207.000 1.0315
207.500 1.0337
208.000 1.0327
208.500 1.0278
209.000 1.0236
209.500 1.0230
210.000 1.0234
210.500 1.0241
211.000 1.0227
211.500 1.0182
212.000 1.0209
212.500 1.0280
213.000 1.0253
213.500 1.0258
214.000 1.0198
214.500 1.0167
215.000 1.0180
215.500 1.0205
216.000 1.0248
216.500 1.0256
217.000 1.0267
217.500 1.0263
218.000 1.0283
218.500 1.0323
219.000 1.0315
219.500 1.0286
220.000 1.0279
220.500 1.0280
221.000 1.0261
221.500 1.0240
222.000 1.0219
222.500 1.0269
223.000 1.0242
223.500 1.0274
224.000 1.0311
224.500 1.0307
225.000 1.0318
225.500 1.0337
226.000 1.0354
226.500 1.0361
227.000 1.0343
227.500 1.0375
228.000 1.0347
228.500 1.0375
229.000 1.0363
229.500 1.0345
230.000 1.0310
230.500 1.0361
231.000 1.0376
231.500 1.0378
232.000 1.0411
232.500 1.0302
233.000 1.0351
233.500 1.0325
234.000 1.0320
234.500 1.0295
235.000 1.0286
235.500 1.0313
236.000 1.0347
236.500 1.0322
237.000 1.0334
237.500 1.0267
238.000 1.0249
238.500 1.0236
239.000 1.0278
239.500 1.0303
240.000 1.0339
240.500 1.0332
241.000 1.0358
241.500 1.0356
242.000 1.0319
242.500 1.0320
243.000 1.0349
243.500 1.0378
244.000 1.0377
244.500 1.0369
245.000 1.0369
245.500 1.0351
246.000 1.0292
246.500 1.0253
247.000 1.0260
247.500 1.0213
248.000 1.0239
248.500 1.0253
249.000 1.0201
249.500 1.0238
250.000 1.0246
