# TIME(ps) DENSITY(g/cm^3)
150.500 0.5312
151.000 0.5359
151.500 0.5403
152.000 0.5456
152.500 0.5502
153.000 0.5564
153.500 0.5636
154.000 0.5702
154.500 0.5768
155.000 0.5817
155.500 0.5887
156.000 0.5966
156.500 0.6018
157.000 0.6078
157.500 0.6123
158.000 0.6178
158.500 0.6238
159.000 0.6307
159.500 0.6380
160.000 0.6454
160.500 0.6558
161.000 0.6620
161.500 0.6686
162.000 0.6746
162.500 0.6820
163.000 0.6901
163.500 0.6988
164.000 0.7090
164.500 0.7203
165.000 0.7326
165.500 0.7444
166.000 0.7576
166.500 0.7707
167.000 0.7807
167.500 0.7966
168.000 0.8108
168.500 0.8235
169.000 0.8437
169.500 0.8582
170.000 0.8726
170.500 0.8916
171.000 0.9021
171.500 0.9144
172.000 0.9218
172.500 0.9307
173.000 0.9366
173.500 0.9423
174.000 0.9533
174.500 0.9645
175.000 0.9658
175.500 0.9711
176.000 0.9761
176.500 0.9815
177.000 0.9933
177.500 0.9991
178.000 0.9992
178.500 0.9991
179.000 1.0009
179.500 1.0015
180.000 1.0026
180.500 0.9935
181.000 0.9946
181.500 0.9999
182.000 0.9978
182.500 0.9960
183.000 0.9982
183.500 1.0034
184.000 1.0029
184.500 1.0139
185.000 1.0162
185.500 1.0235
186.000 1.0212
186.500 1.0185
187.000 1.0208
187.500 1.0267
188.000 1.0280
188.500 1.0236
189.000 1.0205
189.500 1.0159
190.000 1.0165
190.500 1.0214
191.000 1.0198
191.500 1.0182
192.000 1.0155
192.500 1.0123
193.000 1.0108
193.500 1.0097
194.000 1.0108
194.500 1.0074
195.000 1.0065
195.500 1.0116
196.000 1.0173
196.500 1.0178
197.000 1.0233
197.500 1.0199
198.000 1.0168
198.500 1.0207
199.000 1.0299
199.500 1.0327
200.000 1.0236
200.500 1.0159
201.000 1.0064
201.500 1.0063
202.000 1.0085
202.500 1.0111
203.000 1.0065
203.500 1.0084
204.000 0.9987
204.500 1.0084
205.000 1.0120
205.500 1.0130
206.000 1.0105
206.500 1.0127
207.000 1.0120
207.500 1.0112
208.000 1.0077
208.500 1.0090
209.000 1.0079
209.500 1.0084
210.000 1.0161
210.500 1.0191
211.000 1.0160
211.500 1.0173
212.000 1.0180
212.500 1.0201
213.000 1.0244
213.500 1.0260
214.000 1.0264
214.500 1.0265
215.000 1.0185
215.500 1.0156
216.000 1.0173
216.500 1.0191
217.000 1.0260
217.500 1.0261
218.000 1.0316
218.500 1.0316
219.000 1.0285
219.500 1.0278
220.000 1.0284
220.500 1.0257
221.000 1.0295
221.500 1.0236
222.000 1.0215
222.500 1.0236
223.000 1.0263
223.500 1.0267
224.000 1.0315
224.500 1.0288
225.000 1.0244
225.500 1.0148
226.000 1.0091
226.500 1.0078
227.000 1.0124
227.500 1.0078
228.000 1.0111
228.500 1.0088
229.000 1.0058
229.500 0.9979
230.000 1.0032
230.500 1.0064
231.000 1.0098
231.500 1.0146
232.000 1.0183
232.500 1.0146
233.000 1.0091
233.500 1.0062
234.000 1.0026
234.500 1.0055
235.000 1.0071
235.500 1.0029
236.000 1.0100
236.500 1.0156
237.000 1.0247
237.500 1.0238
238.000 1.0176
238.500 1.0107
239.000 1.0131
239.500 1.0160
240.000 1.0139
240.500 1.0094
241.000 1.0106
241.500 1.0082
242.000 1.0061
242.500 1.0084
243.000 1.0060
243.500 1.0125
244.000 1.0165
244.500 1.0199
245.000 1.0214
245.500 1.0288
246.000 1.0295
246.500 1.0299
247.000 1.0291
247.500 1.0292
248.000 1.0249
248.500 1.0266
249.000 1.0267
249.500 1.0292
250.000 1.0285
