# TIME(ps) DENSITY(g/cm^3)
150.500 0.5590
151.000 0.5623
151.500 0.5651
152.000 0.5678
152.500 0.5709
153.000 0.5744
153.500 0.5794
154.000 0.5834
154.500 0.5865
155.000 0.5917
155.500 0.5966
156.000 0.6012
156.500 0.6065
157.000 0.6109
157.500 0.6137
158.000 0.6156
158.500 0.6191
159.000 0.6229
159.500 0.6268
160.000 0.6316
160.500 0.6356
161.000 0.6387
161.500 0.6438
162.000 0.6469
162.500 0.6503
163.000 0.6549
163.500 0.6600
164.000 0.6652
164.500 0.6698
165.000 0.6761
165.500 0.6824
166.000 0.6894
166.500 0.6943
167.000 0.6998
167.500 0.7052
168.000 0.7100
168.500 0.7164
169.000 0.7245
169.500 0.7299
170.000 0.7366
170.500 0.7442
171.000 0.7533
171.500 0.7596
172.000 0.7674
172.500 0.7758
173.000 0.7858
173.500 0.7960
174.000 0.8046
174.500 0.8144
175.000 0.8233
175.500 0.8290
176.000 0.8427
176.500 0.8505
177.000 0.8589
177.500 0.8690
178.000 0.8739
178.500 0.8811
179.000 0.8915
179.500 0.9006
180.000 0.9081
180.500 0.9184
181.000 0.9296
181.500 0.9370
182.000 0.9416
182.500 0.9494
183.000 0.9552
183.500 0.9589
184.000 0.9633
184.500 0.9700
185.000 0.9747
185.500 0.9779
186.000 0.9810
186.500 0.9836
187.000 0.9847
187.500 0.9857
188.000 0.9897
188.500 0.9921
189.000 0.9955
189.500 0.9992
190.000 0.9983
190.500 0.9992
191.000 0.9955
191.500 0.9976
192.000 0.9998
192.500 0.9967
193.000 0.9993
193.500 0.9993
194.000 1.0010
194.500 1.0028
195.000 1.0057
195.500 1.0064
196.000 1.0053
196.500 1.0082
197.000 1.0084
197.500 1.0056
198.000 1.0045
198.500 1.0033
199.000 1.0055
199.500 1.0043
200.000 0.9989
200.500 1.0007
201.000 1.0010
201.500 1.0007
202.000 1.0032
202.500 1.0028
203.000 0.9980
203.500 1.0003
204.000 0.9988
204.500 0.9988
205.000 0.9965
205.500 0.9945
206.000 0.9899
206.500 0.9895
207.000 0.9886
207.500 0.9868
208.000 0.9851
208.500 0.9828
209.000 0.9849
209.500 0.9850
210.000 0.9890
210.500 0.9871
211.000 0.9838
211.500 0.9818
212.000 0.9858
212.500 0.9887
213.000 0.9904
213.500 0.9912
214.000 0.9963
214.500 0.9971
215.000 0.9961
215.500 0.9974
216.000 1.0010
216.500 0.9984
217.000 0.9988
217.500 1.0011
218.000 0.9995
218.500 0.9970
219.000 0.9958
219.500 0.9938
220.000 0.9951
220.500 0.9910
221.000 0.9889
221.500 0.9903
222.000 0.9917
222.500 0.9881
223.000 0.9875
223.500 0.9871
224.000 0.9883
224.500 0.9852
225.000 0.9901
225.500 0.9972
226.000 1.0005
226.500 1.0006
227.000 0.9977
227.500 0.9947
228.000 0.9964
228.500 0.9961
229.000 0.9941
229.500 0.9959
230.000 0.9946
230.500 0.9961
231.000 0.9925
231.500 0.9912
232.000 0.9942
232.500 0.9937
233.000 0.9964
233.500 0.9980
234.000 0.9999
234.500 1.0024
235.000 1.0029
235.500 1.0007
236.000 1.0014
236.500 1.0009
237.000 0.9982
237.500 0.9984
238.000 0.9984
238.500 0.9987
239.000 1.0010
239.500 1.0043
240.000 1.0016
240.500 1.0002
241.000 1.0030
241.500 1.0023
242.000 1.0027
242.500 1.0021
243.000 1.0014
243.500 1.0016
244.000 1.0012
244.500 1.0034
245.000 1.0009
245.500 1.0026
246.000 1.0061
246.500 1.0099
247.000 1.0083
247.500 1.0042
248.000 1.0028
248.500 0.9988
249.000 1.0005
249.500 0.9970
250.000 0.9978
