# STEP_NO SUBSYSTEMS FINAL_ITERATIONS STEP_SECONDS
0 374 59 21.139000
1 374 27 9.635000
2 376 26 9.307000
3 374 22 7.892000
4 376 24 8.609000
5 377 24 8.633000
6 375 22 7.896000
7 374 22 7.933000
8 372 21 7.522000
9 372 23 8.275000
10 379 27 9.592000
11 376 45 15.803000
12 375 24 8.566000
13 375 28 9.909000
14 378 26 9.170000
15 377 29 10.273000
16 378 25 8.859000
17 380 27 9.488000
18 380 25 8.847000
19 377 29 10.147000
20 380 33 11.451000
21 383 27 9.427000
22 383 25 8.776000
23 384 23 8.076000
24 383 23 8.473000
25 383 24 8.945000
26 381 30 11.154000
27 382 38 14.118000
28 383 29 10.752000
29 380 45 16.348000
30 380 25 9.453000
31 380 23 8.777000
32 381 22 8.525000
33 382 24 9.293000
34 381 28 10.740000
35 382 26 9.731000
36 382 24 8.917000
37 380 22 8.404000
38 380 23 8.828000
39 379 24 9.310000
40 378 22 8.355000
41 381 24 8.856000
42 382 24 8.957000
43 382 23 8.870000
44 382 23 8.828000
45 381 24 9.123000
46 384 25 9.253000
47 384 23 8.594000
48 384 24 9.239000
49 385 26 10.053000
50 376 44 16.330000
51 377 25 9.233000
52 375 21 7.981000
53 374 21 7.869000
54 373 22 8.266000
55 374 20 7.525000
56 375 21 7.775000
57 374 22 8.160000
58 374 23 8.493000
59 375 24 9.041000
60 374 23 8.640000
61 376 21 7.995000
62 379 21 7.817000
63 379 23 8.378000
64 378 22 7.988000
65 379 20 7.233000
66 381 21 7.440000
67 382 22 7.761000
68 383 24 8.368000
69 383 19 6.704000
70 382 23 8.013000
71 382 21 7.342000
72 385 21 7.356000
73 383 23 8.139000
74 385 24 8.360000
75 383 14 5.072000
76 382 22 7.716000
77 385 17 6.118000
78 380 29 10.070000
79 379 25 8.777000
80 389 23 8.035000
81 388 22 7.864000
82 389 21 7.601000
83 386 20 7.500000
84 384 18 6.769000
85 383 20 7.473000
86 386 20 7.452000
87 389 16 5.988000
88 389 17 6.206000
89 391 20 7.446000
90 391 19 6.812000
91 386 21 7.712000
92 387 17 6.371000
93 388 17 6.503000
94 382 19 7.304000
95 377 21 8.221000
96 378 24 9.303000
97 378 20 7.670000
98 379 21 7.798000
99 376 19 7.135000
100 373 22 8.360000
101 373 14 5.436000
102 371 21 8.021000
103 370 20 7.692000
104 369 20 7.521000
105 369 22 8.167000
106 371 20 7.572000
107 372 20 7.792000
108 372 22 8.480000
109 379 22 8.419000
110 377 19 7.111000
111 382 17 6.407000
112 379 22 8.016000
113 382 25 9.267000
114 383 24 8.803000
115 380 23 8.490000
116 381 25 8.944000
117 381 20 7.148000
118 380 12 4.526000
119 379 19 7.062000
120 380 21 7.821000
121 381 23 8.505000
122 381 23 8.436000
123 382 23 8.617000
124 384 22 8.159000
125 382 12 4.798000
126 383 21 8.102000
127 387 18 6.777000
128 387 20 7.559000
129 386 21 7.801000
130 385 18 6.627000
131 385 18 6.489000
132 385 18 6.512000
133 385 19 6.693000
134 385 14 4.991000
135 385 19 6.699000
136 385 21 7.363000
137 385 15 5.391000
138 386 14 5.048000
139 384 17 6.006000
140 386 19 6.605000
141 388 20 7.092000
142 388 20 7.134000
143 387 15 5.341000
144 386 20 7.007000
145 387 19 6.750000
146 387 20 7.008000
147 388 19 6.738000
148 385 22 7.618000
149 388 22 7.669000
150 386 21 7.285000
151 387 20 6.948000
152 387 20 6.964000
153 384 20 7.031000
154 387 20 7.077000
155 383 21 7.708000
156 385 21 7.796000
157 382 21 7.746000
158 382 20 7.398000
159 384 21 7.782000
160 384 20 7.389000
161 384 21 7.534000
162 384 21 7.602000
163 385 20 7.139000
164 384 19 7.000000
165 383 18 6.744000
166 381 18 6.784000
167 379 18 6.870000
168 377 16 6.152000
169 378 12 4.723000
170 378 15 5.888000
171 377 15 5.761000
172 377 11 4.266000
173 379 11 4.210000
174 376 15 5.744000
175 374 12 4.770000
176 373 17 6.686000
177 372 19 7.460000
178 368 16 6.300000
179 368 13 5.112000
180 369 17 6.512000
181 370 18 6.831000
182 371 17 6.463000
183 371 15 5.986000
184 370 17 6.667000
185 371 15 5.972000
186 370 16 6.320000
187 370 17 6.654000
188 373 16 6.171000
189 372 16 6.109000
190 371 17 6.659000
191 372 17 6.797000
192 372 18 7.198000
193 372 12 4.837000
194 374 20 7.828000
195 374 14 5.470000
196 373 18 6.921000
197 373 18 6.884000
198 373 18 7.126000
199 373 17 6.676000
200 375 14 5.565000
201 376 21 8.212000
202 376 17 6.614000
203 375 13 5.083000
204 374 16 6.068000
205 373 21 7.831000
206 373 22 8.189000
207 372 23 8.581000
208 373 14 5.534000
209 373 23 8.551000
210 373 22 7.946000
211 374 20 7.203000
212 374 21 7.463000
213 372 20 7.021000
214 370 19 6.672000
215 371 20 6.989000
216 369 20 7.013000
217 369 21 7.312000
218 370 23 7.993000
219 369 22 7.670000
220 370 20 6.970000
221 368 20 7.000000
222 368 12 4.373000
223 369 20 7.013000
224 368 19 6.693000
225 367 19 6.667000
226 369 20 6.924000
227 371 21 7.327000
228 371 21 7.338000
229 370 12 4.318000
230 369 16 5.650000
231 367 11 4.029000
232 365 17 6.020000
233 364 18 6.401000
234 363 13 4.762000
235 364 17 6.125000
236 372 11 4.096000
237 373 19 7.010000
238 372 18 6.691000
239 373 18 6.663000
240 372 14 5.344000
241 370 19 7.065000
242 371 20 7.325000
243 372 19 6.933000
244 372 20 7.313000
245 373 21 7.738000
246 373 18 6.555000
247 381 21 7.809000
248 381 20 7.628000
249 376 17 6.551000
250 377 18 6.942000
251 377 19 7.333000
252 377 21 8.135000
253 379 19 7.125000
254 383 18 6.679000
255 388 20 7.438000
256 385 22 8.406000
257 386 18 7.017000
258 386 20 7.644000
259 385 20 7.650000
260 386 19 7.169000
261 377 20 7.433000
262 376 23 8.687000
263 377 19 7.312000
264 377 21 7.957000
265 380 23 8.694000
266 383 23 8.505000
267 382 20 7.437000
268 382 20 7.681000
269 380 18 7.022000
270 378 22 8.403000
271 375 22 8.448000
272 376 21 7.877000
273 386 23 8.404000
274 386 24 9.072000
275 387 11 4.403000
276 386 19 7.360000
277 388 19 7.194000
278 386 19 7.313000
279 386 22 8.465000
280 384 23 8.714000
281 376 21 8.372000
282 387 23 8.755000
283 385 24 9.099000
284 382 23 8.703000
285 383 24 8.998000
286 383 22 8.109000
287 385 23 8.380000
288 385 23 8.215000
289 384 23 8.222000
290 385 20 7.178000
291 383 20 7.122000
292 386 20 7.096000
293 384 20 7.113000
294 387 21 7.438000
295 389 20 7.114000
296 385 19 6.769000
297 386 19 6.855000
298 384 22 7.804000
299 385 21 7.503000
300 384 22 7.817000
301 382 21 7.470000
302 383 21 7.417000
303 385 21 7.377000
304 385 20 7.060000
305 386 19 6.856000
306 386 21 7.414000
307 387 18 6.536000
308 391 23 8.357000
309 391 21 7.723000
310 389 23 8.496000
311 394 23 8.456000
312 394 24 8.851000
313 391 22 8.048000
314 389 23 8.375000
315 390 12 4.410000
316 390 19 6.969000
317 389 22 8.262000
318 391 22 8.335000
319 391 22 8.376000
320 392 22 8.431000
321 394 21 8.027000
322 395 22 8.150000
323 389 22 8.128000
324 390 22 8.371000
325 394 23 8.774000
326 392 23 8.801000
327 393 24 9.092000
328 393 21 7.809000
329 392 21 7.781000
330 395 19 7.216000
331 394 20 7.714000
332 394 21 8.046000
333 394 20 7.622000
334 392 21 7.951000
335 392 21 7.770000
336 392 20 7.671000
