# STEP_NO SUBSYSTEMS FINAL_ITERATIONS STEP_SECONDS
0 239 48 8.258000
1 242 20 3.479000
2 241 20 3.509000
3 238 20 3.562000
4 241 13 2.369000
5 241 13 2.320000
6 244 11 2.035000
7 244 9 1.675000
8 243 9 1.655000
9 243 9 1.665000
10 243 7 1.334000
11 243 7 1.327000
12 242 8 1.518000
13 242 7 1.329000
14 243 8 1.542000
15 242 8 1.548000
16 241 8 1.508000
17 228 8 1.482000
18 228 8 1.472000
19 229 8 1.490000
20 229 8 1.478000
21 230 8 1.486000
22 231 8 1.496000
23 231 7 1.346000
24 231 7 1.323000
25 231 9 1.667000
26 230 9 1.662000
27 231 8 1.506000
28 235 9 1.683000
29 235 10 1.847000
30 236 8 1.499000
31 236 8 1.499000
32 235 8 1.497000
33 240 8 1.499000
34 240 8 1.481000
35 239 7 1.303000
36 239 7 1.303000
37 240 8 1.484000
38 239 9 1.666000
39 241 9 1.651000
40 241 8 1.481000
41 241 8 1.469000
42 237 7 1.308000
43 239 7 1.305000
44 240 8 1.473000
45 240 8 1.463000
46 240 8 1.457000
47 240 7 1.300000
48 241 8 1.496000
49 241 8 1.495000
50 242 8 1.520000
51 242 7 1.318000
52 242 8 1.514000
53 241 7 1.336000
54 238 7 1.368000
55 240 7 1.352000
56 239 7 1.360000
57 239 7 1.345000
58 240 7 1.359000
59 241 7 1.340000
60 240 8 1.512000
61 240 9 1.688000
62 241 9 1.684000
63 241 8 1.518000
64 240 7 1.351000
65 238 8 1.521000
66 237 7 1.371000
67 238 8 1.556000
68 238 9 1.731000
69 240 8 1.546000
70 239 8 1.537000
71 240 8 1.519000
72 240 7 1.360000
73 241 8 1.533000
74 242 8 1.544000
75 241 8 1.545000
76 241 7 1.369000
77 241 8 1.536000
78 240 8 1.521000
79 241 8 1.504000
80 240 8 1.507000
81 240 7 1.344000
82 240 8 1.519000
83 240 9 1.686000
84 240 9 1.694000
85 241 8 1.518000
86 241 8 1.533000
87 241 8 1.518000
88 241 8 1.540000
89 241 8 1.519000
90 241 8 1.554000
91 241 8 1.530000
92 243 8 1.532000
93 243 7 1.385000
94 243 8 1.557000
95 244 8 1.538000
96 245 8 1.562000
97 241 8 1.556000
98 241 8 1.524000
99 241 8 1.536000
100 240 8 1.529000
101 239 7 1.359000
102 240 8 1.502000
103 240 8 1.513000
104 240 9 1.691000
105 240 9 1.689000
106 241 8 1.516000
107 243 8 1.515000
108 242 8 1.502000
109 242 8 1.511000
110 236 8 1.487000
111 238 7 1.307000
112 240 8 1.495000
113 239 8 1.481000
114 240 7 1.309000
115 238 8 1.504000
116 242 9 1.680000
117 238 8 1.464000
118 238 8 1.460000
119 238 8 1.470000
120 237 7 1.295000
121 237 8 1.473000
122 238 8 1.464000
123 239 7 1.288000
124 239 8 1.451000
125 239 9 1.601000
126 238 8 1.454000
127 238 8 1.458000
128 243 8 1.519000
129 235 8 1.521000
130 232 9 1.737000
131 228 7 1.375000
132 231 7 1.374000
133 231 8 1.541000
134 231 8 1.544000
135 233 8 1.526000
136 232 8 1.509000
