# STEP_NO SUBSYSTEMS FINAL_ITERATIONS STEP_SECONDS
0 116 11 1.039000
1 116 8 0.781000
2 116 8 0.736000
3 117 7 0.677000
4 117 7 0.648000
5 116 7 0.648000
6 115 6 0.571000
7 114 7 0.690000
8 115 7 0.671000
9 116 7 0.670000
10 116 7 0.668000
11 117 7 0.671000
12 118 7 0.690000
13 117 7 0.690000
14 117 7 0.662000
15 116 7 0.662000
16 117 7 0.652000
17 118 7 0.649000
18 117 7 0.688000
19 117 7 0.678000
20 117 5 0.491000
21 121 5 0.503000
22 122 6 0.597000
23 115 7 0.657000
24 115 7 0.689000
25 113 6 0.578000
26 113 6 0.569000
27 114 6 0.586000
28 114 7 0.658000
29 115 7 0.663000
30 115 7 0.660000
31 115 7 0.696000
32 119 6 0.579000
33 119 6 0.584000
34 119 7 0.687000
35 117 7 0.693000
36 113 6 0.568000
37 112 6 0.570000
38 115 6 0.589000
39 114 6 0.557000
40 112 7 0.647000
41 111 6 0.565000
42 111 6 0.570000
43 111 6 0.576000
44 111 6 0.574000
45 116 7 0.688000
46 116 7 0.688000
47 116 7 0.678000
48 116 7 0.700000
49 115 7 0.672000
50 115 6 0.568000
51 113 6 0.561000
52 113 6 0.569000
53 113 7 0.668000
54 112 7 0.646000
55 112 6 0.561000
56 112 6 0.552000
57 112 7 0.639000
58 113 6 0.555000
59 114 7 0.651000
60 114 7 0.706000
61 114 7 0.697000
62 114 7 0.657000
63 115 7 0.674000
64 116 7 0.702000
65 116 7 0.679000
66 116 7 0.640000
67 116 7 0.639000
68 116 6 0.556000
69 116 7 0.665000
70 116 7 0.665000
71 115 7 0.667000
72 114 7 0.638000
73 114 7 0.643000
74 114 6 0.564000
75 112 7 0.639000
76 112 7 0.653000
77 112 7 0.657000
78 112 7 0.681000
79 112 7 0.694000
80 113 7 0.696000
81 113 7 0.653000
82 114 7 0.653000
83 114 7 0.641000
84 116 8 0.744000
85 116 7 0.683000
86 116 7 0.673000
87 116 7 0.671000
88 116 7 0.682000
89 119 7 0.706000
90 119 7 0.637000
91 121 7 0.690000
92 120 7 0.654000
93 123 7 0.660000
94 122 7 0.684000
95 122 7 0.702000
96 122 7 0.678000
97 122 7 0.678000
98 121 7 0.676000
99 121 6 0.595000
100 122 6 0.557000
101 122 6 0.588000
102 122 6 0.615000
103 122 7 0.693000
104 122 7 0.679000
105 122 6 0.611000
106 124 7 0.660000
107 124 7 0.671000
108 124 6 0.616000
109 123 6 0.573000
