# STEP_NO SUBSYSTEMS FINAL_ITERATIONS STEP_SECONDS
0 325 40 10.024000
1 323 27 6.792000
2 311 28 7.037000
3 313 29 7.257000
4 313 23 5.843000
5 314 24 6.151000
6 315 23 5.931000
7 314 26 6.632000
8 314 25 6.388000
9 313 25 6.442000
10 315 29 7.382000
11 315 33 8.378000
12 315 28 7.106000
13 315 26 6.618000
14 315 27 6.933000
15 314 29 7.424000
16 314 27 6.814000
17 315 26 6.524000
18 314 25 6.319000
19 313 26 6.606000
20 315 25 6.307000
21 318 28 6.926000
22 320 31 7.675000
23 320 29 7.214000
24 320 21 5.285000
25 319 26 6.526000
26 317 24 6.066000
27 318 24 6.053000
28 317 25 6.319000
29 317 25 6.350000
30 318 25 6.467000
31 318 24 6.192000
32 316 49 12.437000
33 315 25 6.395000
34 315 26 6.672000
35 318 27 6.696000
36 319 27 6.668000
37 319 28 6.891000
38 319 25 6.200000
39 320 26 6.357000
40 312 25 6.307000
41 311 27 6.833000
42 312 25 6.290000
43 310 25 6.326000
44 310 26 6.540000
45 309 25 6.354000
46 312 24 6.145000
47 312 23 5.925000
48 312 25 6.401000
49 311 27 6.907000
50 311 27 6.933000
51 312 26 6.687000
52 311 26 6.659000
53 311 24 6.153000
54 312 24 6.129000
55 312 23 5.885000
56 313 23 5.926000
57 315 24 6.107000
58 315 23 5.902000
59 315 23 5.866000
60 313 26 6.627000
61 314 24 6.119000
62 313 25 6.421000
63 315 22 5.635000
64 313 23 5.908000
65 312 22 5.680000
66 310 26 6.637000
67 305 28 7.036000
68 307 24 6.079000
69 307 26 6.552000
70 309 25 6.281000
71 308 24 6.032000
72 307 23 5.740000
73 307 23 5.749000
74 310 25 6.240000
75 308 23 5.751000
76 316 41 9.851000
77 316 28 6.818000
78 317 24 5.821000
79 318 25 6.033000
80 319 22 5.336000
81 320 23 5.575000
82 320 24 5.802000
83 318 22 5.374000
84 318 26 6.281000
85 319 23 5.585000
86 318 25 6.098000
87 318 26 6.322000
88 318 26 6.353000
89 317 24 5.914000
90 317 21 5.191000
91 317 22 5.456000
92 317 23 5.644000
93 318 24 5.838000
94 318 23 5.591000
95 318 21 5.126000
96 317 20 4.846000
97 322 24 6.102000
98 320 20 5.037000
99 320 24 6.044000
100 320 22 5.529000
101 321 22 5.554000
102 321 22 5.568000
103 318 27 6.761000
104 318 24 6.064000
105 319 23 5.792000
106 319 21 5.375000
107 321 22 5.626000
108 321 22 5.675000
109 322 22 5.667000
110 321 21 5.384000
111 320 22 5.641000
112 320 23 5.878000
113 320 20 5.128000
114 320 20 5.088000
115 321 17 4.364000
116 321 24 6.118000
117 319 26 6.540000
118 319 21 5.327000
119 316 21 5.374000
120 320 21 5.384000
121 321 18 4.688000
122 318 16 4.186000
123 319 14 3.667000
124 317 17 4.420000
125 318 21 5.373000
126 319 13 3.462000
127 323 22 5.650000
128 323 22 5.636000
129 321 23 5.872000
130 322 25 6.465000
131 322 19 4.958000
132 322 23 6.001000
133 322 24 6.174000
134 321 21 5.459000
135 320 21 5.439000
136 319 20 5.176000
137 314 23 5.868000
138 314 25 6.368000
139 314 17 4.448000
140 312 21 5.390000
141 312 23 5.882000
142 314 22 5.603000
143 314 22 5.577000
144 315 20 5.053000
145 315 21 5.360000
146 317 21 5.371000
147 317 14 3.641000
148 314 21 5.346000
149 313 19 4.930000
150 312 20 5.138000
151 312 21 5.382000
152 313 9 2.433000
153 313 14 3.644000
154 312 19 4.852000
155 313 19 4.830000
156 312 19 4.884000
157 311 19 4.818000
158 311 22 5.634000
159 311 23 5.790000
160 315 18 4.638000
161 316 19 4.886000
162 316 21 5.365000
163 320 24 5.943000
164 320 23 5.715000
165 320 22 5.461000
166 313 18 4.558000
167 312 17 4.324000
168 313 18 4.547000
169 314 18 4.517000
170 314 19 4.758000
171 314 18 4.511000
172 315 19 4.774000
173 313 18 4.587000
174 314 19 4.852000
175 315 19 4.811000
176 315 19 4.793000
177 315 19 4.816000
178 314 16 4.074000
179 315 20 5.082000
180 315 22 5.528000
181 314 21 5.294000
182 314 20 5.079000
183 313 20 5.074000
184 313 20 5.007000
185 313 20 5.019000
186 313 21 5.264000
187 313 21 5.246000
188 310 21 5.237000
189 309 21 5.278000
190 312 22 5.554000
191 312 23 5.791000
192 314 14 3.633000
193 315 21 5.268000
194 314 20 5.010000
195 315 19 4.793000
196 315 17 4.312000
197 316 20 4.976000
198 314 23 5.706000
199 316 17 4.267000
200 316 17 4.296000
201 315 19 4.754000
202 314 21 5.232000
203 315 19 4.789000
204 315 18 4.554000
205 315 19 4.794000
206 313 18 4.568000
207 312 22 5.526000
208 317 22 5.533000
209 310 19 4.780000
210 313 21 5.332000
211 312 18 4.585000
212 311 18 4.579000
213 312 20 5.055000
214 312 21 5.299000
215 312 21 5.312000
216 314 21 5.281000
217 314 15 3.858000
218 316 19 4.779000
219 315 19 4.749000
220 315 17 4.302000
221 315 19 4.755000
222 314 21 5.242000
223 317 18 4.585000
224 316 14 3.612000
225 314 21 5.294000
226 315 21 5.319000
227 313 21 5.297000
228 313 17 4.348000
229 313 21 5.370000
230 312 20 5.126000
231 311 18 4.614000
232 311 17 4.392000
233 312 16 4.156000
234 313 18 4.581000
235 312 19 4.800000
236 306 20 5.114000
237 306 23 5.873000
238 307 19 4.869000
239 311 24 6.108000
240 312 24 6.067000
241 312 22 5.529000
242 311 22 5.575000
243 314 22 5.476000
244 313 23 5.753000
245 309 25 6.401000
246 309 24 6.152000
247 310 23 5.974000
248 308 23 5.963000
249 308 21 5.518000
250 309 24 6.202000
251 310 24 6.250000
252 310 23 5.918000
253 309 22 5.730000
254 309 26 6.600000
255 308 26 6.610000
256 308 23 5.856000
257 308 23 5.916000
258 307 24 6.132000
259 307 22 5.645000
260 306 22 5.702000
261 311 22 5.596000
262 310 23 5.849000
263 310 22 5.609000
264 307 22 5.615000
265 305 22 5.673000
266 304 22 5.591000
267 305 23 5.852000
268 306 21 5.425000
269 306 23 5.852000
270 305 23 5.799000
271 305 11 2.923000
272 306 20 5.129000
273 306 22 5.667000
274 307 21 5.426000
275 307 21 5.440000
276 304 21 5.346000
277 306 20 5.118000
278 307 20 5.123000
279 307 20 5.129000
280 306 22 5.599000
281 305 22 5.582000
282 307 21 5.324000
283 307 20 5.131000
284 308 18 4.659000
285 309 24 6.092000
286 307 22 5.633000
287 305 22 5.580000
288 306 23 5.836000
289 307 22 5.654000
290 307 23 5.926000
291 307 24 6.149000
292 307 22 5.653000
293 309 21 5.383000
294 309 23 5.808000
295 309 24 6.091000
296 310 24 6.135000
297 310 19 4.910000
298 309 23 5.890000
299 309 24 6.114000
300 309 22 5.574000
301 309 25 6.355000
302 309 24 6.099000
303 309 25 6.367000
304 308 20 5.114000
305 308 22 5.605000
306 301 21 5.308000
307 304 21 5.316000
308 303 22 5.564000
309 303 21 5.297000
310 304 22 5.540000
311 302 20 5.029000
312 303 20 5.054000
313 304 20 5.046000
314 304 11 2.890000
315 302 21 5.317000
316 302 21 5.286000
317 302 22 5.546000
318 298 24 6.104000
319 298 24 6.116000
320 298 20 5.130000
321 298 21 5.336000
322 298 22 5.560000
323 296 23 5.887000
324 296 26 6.624000
325 297 22 5.576000
326 298 20 5.051000
327 298 22 5.569000
328 301 18 4.603000
329 301 22 5.592000
330 319 25 6.148000
331 320 26 6.370000
332 319 25 6.125000
333 320 23 5.672000
334 317 23 5.663000
335 317 24 5.918000
336 318 22 5.459000
337 317 23 5.739000
338 319 21 5.195000
339 319 21 5.233000
340 319 21 5.246000
341 321 22 5.508000
342 323 24 6.052000
343 323 23 5.823000
344 316 22 5.545000
345 317 22 5.542000
346 320 21 5.308000
347 320 22 5.557000
348 320 22 5.622000
349 321 18 4.628000
350 321 18 4.661000
351 319 21 5.313000
352 319 21 5.297000
353 319 20 5.063000
354 319 21 5.276000
355 318 23 5.778000
356 319 19 4.781000
357 319 22 5.459000
358 320 21 5.231000
359 320 22 5.522000
360 320 25 6.299000
361 320 22 5.549000
362 320 21 5.299000
363 319 20 5.032000
364 317 21 5.280000
365 317 20 5.044000
366 317 21 5.286000
367 316 21 5.278000
368 316 22 5.484000
369 316 22 5.519000
370 316 19 4.769000
371 313 19 4.797000
372 315 21 5.217000
373 315 22 5.528000
374 315 21 5.265000
375 314 21 5.214000
376 314 22 5.479000
377 314 19 4.753000
378 315 17 4.274000
379 315 22 5.460000
380 315 22 5.477000
381 316 22 5.481000
382 316 22 5.517000
383 315 22 5.617000
384 316 20 5.102000
385 317 24 5.986000
386 315 24 6.098000
387 316 22 5.644000
388 316 22 5.580000
389 317 24 6.062000
390 318 23 5.778000
391 317 23 5.853000
392 318 23 5.813000
393 318 21 5.269000
394 318 21 5.245000
395 310 20 5.229000
396 313 21 5.480000
397 313 24 6.266000
398 312 22 5.746000
399 312 21 5.487000
400 310 21 5.466000
401 309 19 5.053000
402 309 21 5.527000
403 309 20 5.229000
404 313 17 4.472000
405 313 21 5.443000
406 313 18 4.737000
407 311 19 4.870000
408 313 21 5.354000
409 314 20 5.185000
410 314 22 5.643000
411 315 21 5.414000
412 312 24 6.104000
413 310 21 5.466000
414 316 21 5.393000
415 313 22 5.707000
416 312 20 5.223000
417 311 20 5.244000
418 310 18 4.791000
419 311 21 5.593000
420 315 21 5.391000
421 312 19 4.974000
422 313 21 5.484000
423 314 19 4.941000
424 313 22 5.668000
425 315 19 4.936000
426 314 21 5.435000
427 313 22 5.688000
428 313 24 6.207000
429 312 20 5.193000
430 312 22 5.673000
431 312 22 5.752000
432 312 21 5.439000
433 311 23 5.844000
434 311 23 5.870000
435 309 24 6.088000
436 307 24 6.043000
437 307 26 6.522000
438 307 25 6.383000
439 308 24 6.074000
440 311 21 5.292000
441 309 22 5.610000
442 309 23 5.776000
443 309 21 5.300000
444 309 23 5.788000
445 309 22 5.551000
446 309 21 5.309000
447 309 20 5.076000
448 309 21 5.317000
449 310 21 5.313000
450 307 24 6.081000
451 308 23 5.861000
