# TIME(ps) TEMP(K)
0.000 0.00
0.500 91.60
1.000 108.83
1.500 119.49
2.000 116.80
2.500 112.94
3.000 116.47
3.500 132.63
4.000 120.45
4.500 125.78
5.000 116.04
5.500 122.03
6.000 134.44
6.500 135.72
7.000 134.28
7.500 129.35
8.000 136.29
8.500 141.40
9.000 148.86
9.500 140.38
10.000 142.39
10.500 147.57
11.000 149.48
11.500 148.14
12.000 149.88
12.500 151.03
13.000 153.69
13.500 158.50
14.000 162.35
14.500 167.67
15.000 170.51
15.500 171.98
16.000 163.83
16.500 168.21
17.000 165.15
17.500 173.54
18.000 174.48
18.500 174.94
19.000 176.07
19.500 179.30
20.000 193.80
20.500 197.17
21.000 181.27
21.500 183.94
22.000 186.13
22.500 189.21
23.000 188.91
23.500 207.41
24.000 203.95
24.500 193.46
25.000 212.74
25.500 206.01
26.000 215.19
26.500 201.89
27.000 203.18
27.500 212.18
28.000 215.95
28.500 216.48
29.000 210.41
29.500 213.96
30.000 214.22
30.500 222.48
31.000 219.77
31.500 230.61
32.000 229.48
32.500 217.65
33.000 222.85
33.500 248.52
34.000 238.14
34.500 247.32
35.000 255.32
35.500 248.63
36.000 243.23
36.500 246.37
37.000 250.46
37.500 247.33
38.000 240.00
38.500 256.61
39.000 257.26
39.500 266.61
40.000 263.70
40.500 268.88
41.000 268.16
41.500 264.86
42.000 257.22
42.500 274.05
43.000 283.55
43.500 270.13
44.000 283.25
44.500 271.62
45.000 290.13
45.500 283.54
46.000 292.14
46.500 284.50
47.000 288.97
47.500 277.82
48.000 290.11
48.500 291.45
49.000 280.58
49.500 310.23
50.000 295.10
50.500 292.76
51.000 285.40
51.500 300.92
52.000 275.08
52.500 287.00
53.000 300.39
53.500 307.62
54.000 312.02
54.500 302.49
55.000 289.15
55.500 300.01
56.000 309.69
56.500 304.47
57.000 284.87
57.500 278.15
58.000 309.65
58.500 306.30
59.000 308.33
59.500 310.46
60.000 306.82
60.500 305.60
61.000 290.21
61.500 302.38
62.000 285.42
62.500 300.76
63.000 289.28
63.500 316.25
64.000 296.58
64.500 310.08
65.000 329.30
65.500 301.39
66.000 305.21
66.500 302.25
67.000 292.97
67.500 304.44
68.000 306.34
68.500 320.73
69.000 323.79
69.500 321.92
70.000 329.64
70.500 304.02
71.000 296.40
71.500 318.93
72.000 314.16
72.500 322.18
