# TIME(ps) DENSITY(g/cm^3)
150.500 0.5968
151.000 0.6015
151.500 0.6067
152.000 0.6114
152.500 0.6152
153.000 0.6203
153.500 0.6245
154.000 0.6279
154.500 0.6332
155.000 0.6384
155.500 0.6449
156.000 0.6499
156.500 0.6534
157.000 0.6592
157.500 0.6642
158.000 0.6693
158.500 0.6755
159.000 0.6815
159.500 0.6867
160.000 0.6929
160.500 0.7005
161.000 0.7049
161.500 0.7107
162.000 0.7149
162.500 0.7206
163.000 0.7267
163.500 0.7329
164.000 0.7398
164.500 0.7429
165.000 0.7491
165.500 0.7585
166.000 0.7669
166.500 0.7706
167.000 0.7773
167.500 0.7836
168.000 0.7910
168.500 0.8021
169.000 0.8122
169.500 0.8205
170.000 0.8296
170.500 0.8376
171.000 0.8466
171.500 0.8527
172.000 0.8611
172.500 0.8692
173.000 0.8764
173.500 0.8842
174.000 0.8915
174.500 0.9031
175.000 0.9121
175.500 0.9194
176.000 0.9234
176.500 0.9310
177.000 0.9419
177.500 0.9522
178.000 0.9588
178.500 0.9671
179.000 0.9758
179.500 0.9805
180.000 0.9879
180.500 0.9905
181.000 0.9922
181.500 0.9970
182.000 1.0018
182.500 1.0033
183.000 1.0032
183.500 1.0010
184.000 1.0008
184.500 0.9998
185.000 0.9981
185.500 0.9998
186.000 0.9954
186.500 0.9957
187.000 0.9935
187.500 0.9925
188.000 0.9916
188.500 0.9896
189.000 0.9906
189.500 0.9940
190.000 0.9978
190.500 0.9953
191.000 0.9940
191.500 0.9925
192.000 0.9916
192.500 0.9914
193.000 0.9967
193.500 0.9957
194.000 1.0011
194.500 1.0022
195.000 1.0048
195.500 1.0053
196.000 1.0025
196.500 1.0049
197.000 1.0056
197.500 1.0065
198.000 1.0012
198.500 1.0030
199.000 1.0049
199.500 1.0113
200.000 1.0124
200.500 1.0141
201.000 1.0132
201.500 1.0137
202.000 1.0114
202.500 1.0106
203.000 1.0141
203.500 1.0112
204.000 1.0119
204.500 1.0106
205.000 1.0090
205.500 1.0058
206.000 1.0047
206.500 1.0023
207.000 1.0006
207.500 1.0043
208.000 1.0027
208.500 0.9979
209.000 1.0002
209.500 1.0004
210.000 1.0002
210.500 1.0022
211.000 1.0023
211.500 1.0043
212.000 1.0049
212.500 1.0075
213.000 1.0094
213.500 1.0078
214.000 1.0066
214.500 1.0065
215.000 1.0064
215.500 1.0086
216.000 1.0118
216.500 1.0085
217.000 1.0073
217.500 1.0066
218.000 1.0047
218.500 1.0042
219.000 1.0054
219.500 1.0076
220.000 1.0058
220.500 1.0019
221.000 0.9970
221.500 0.9947
222.000 0.9952
222.500 0.9970
223.000 0.9995
223.500 1.0026
224.000 1.0054
224.500 1.0081
225.000 1.0083
225.500 1.0066
226.000 1.0050
226.500 1.0056
227.000 1.0004
227.500 1.0014
228.000 1.0032
228.500 1.0017
229.000 1.0010
229.500 0.9977
230.000 0.9962
230.500 0.9924
231.000 0.9915
231.500 0.9934
232.000 0.9950
232.500 0.9944
233.000 0.9898
233.500 0.9912
234.000 0.9945
234.500 0.9964
235.000 0.9949
235.500 0.9960
236.000 0.9944
236.500 0.9940
237.000 0.9948
237.500 0.9994
238.000 1.0006
238.500 0.9987
239.000 0.9992
239.500 1.0003
240.000 0.9978
240.500 0.9986
241.000 0.9975
241.500 0.9976
242.000 0.9958
242.500 0.9968
243.000 0.9975
243.500 0.9990
244.000 1.0022
244.500 1.0070
245.000 1.0082
245.500 1.0077
246.000 1.0039
246.500 1.0023
247.000 1.0053
247.500 1.0080
248.000 1.0067
248.500 1.0052
249.000 1.0030
249.500 1.0033
250.000 0.9993
