# TIME(ps) DENSITY(g/cm^3)
150.500 0.5280
151.000 0.5306
151.500 0.5357
152.000 0.5403
152.500 0.5448
153.000 0.5489
153.500 0.5521
154.000 0.5556
154.500 0.5599
155.000 0.5632
155.500 0.5674
156.000 0.5721
156.500 0.5785
157.000 0.5817
157.500 0.5871
158.000 0.5931
158.500 0.5978
159.000 0.6025
159.500 0.6082
160.000 0.6172
160.500 0.6244
161.000 0.6314
161.500 0.6364
162.000 0.6448
162.500 0.6547
163.000 0.6644
163.500 0.6767
164.000 0.6853
164.500 0.6956
165.000 0.7056
165.500 0.7165
166.000 0.7245
166.500 0.7322
167.000 0.7420
167.500 0.7523
168.000 0.7653
168.500 0.7795
169.000 0.7927
169.500 0.8065
170.000 0.8192
170.500 0.8305
171.000 0.8432
171.500 0.8566
172.000 0.8670
172.500 0.8762
173.000 0.8858
173.500 0.9013
174.000 0.9165
174.500 0.9299
175.000 0.9380
175.500 0.9439
176.000 0.9500
176.500 0.9599
177.000 0.9662
177.500 0.9672
178.000 0.9736
178.500 0.9799
179.000 0.9878
179.500 0.9966
180.000 1.0037
180.500 1.0070
181.000 1.0085
181.500 1.0040
182.000 1.0076
182.500 1.0095
183.000 1.0057
183.500 1.0071
184.000 1.0038
184.500 0.9989
185.000 1.0038
185.500 1.0016
186.000 0.9997
186.500 1.0103
187.000 1.0082
187.500 1.0072
188.000 1.0048
188.500 1.0024
189.000 1.0028
189.500 1.0088
190.000 1.0117
190.500 1.0062
191.000 1.0090
191.500 1.0093
192.000 1.0133
192.500 1.0147
193.000 1.0139
193.500 1.0147
194.000 1.0102
194.500 1.0083
195.000 1.0092
195.500 1.0107
196.000 1.0168
196.500 1.0175
197.000 1.0214
197.500 1.0216
198.000 1.0104
198.500 1.0089
199.000 1.0085
199.500 1.0049
200.000 1.0045
200.500 0.9976
201.000 0.9957
201.500 0.9966
202.000 0.9972
202.500 0.9985
203.000 0.9920
203.500 0.9987
204.000 0.9994
204.500 0.9992
205.000 0.9965
205.500 0.9961
206.000 1.0045
206.500 0.9989
207.000 0.9905
207.500 0.9831
208.000 0.9820
208.500 0.9836
209.000 0.9837
209.500 0.9861
210.000 0.9922
210.500 0.9958
211.000 1.0014
211.500 1.0006
212.000 1.0036
212.500 1.0123
213.000 1.0113
213.500 1.0065
214.000 0.9977
214.500 1.0016
215.000 0.9988
215.500 0.9980
216.000 1.0115
216.500 1.0195
217.000 1.0263
217.500 1.0291
218.000 1.0225
218.500 1.0243
219.000 1.0241
219.500 1.0245
220.000 1.0242
220.500 1.0182
221.000 1.0141
221.500 1.0191
222.000 1.0243
222.500 1.0243
223.000 1.0199
223.500 1.0157
224.000 1.0147
224.500 1.0169
225.000 1.0244
225.500 1.0254
226.000 1.0204
226.500 1.0158
227.000 1.0173
227.500 1.0161
228.000 1.0175
228.500 1.0229
229.000 1.0241
229.500 1.0208
230.000 1.0232
230.500 1.0181
231.000 1.0190
231.500 1.0198
232.000 1.0230
232.500 1.0236
233.000 1.0181
233.500 1.0203
234.000 1.0246
234.500 1.0169
235.000 1.0127
235.500 1.0143
236.000 1.0179
236.500 1.0154
237.000 1.0174
237.500 1.0140
238.000 1.0038
238.500 1.0064
239.000 1.0019
239.500 0.9978
240.000 0.9948
240.500 0.9976
241.000 1.0043
241.500 1.0094
242.000 1.0124
242.500 1.0143
243.000 1.0136
243.500 1.0201
244.000 1.0232
244.500 1.0212
245.000 1.0238
245.500 1.0258
246.000 1.0232
246.500 1.0211
247.000 1.0215
247.500 1.0145
248.000 1.0118
248.500 1.0162
249.000 1.0209
249.500 1.0183
250.000 1.0232
